Ticker,Time,Bid,Ask
GOOG,02.01.2014 00:00:02.120,699.99312,700.00688
GOOG,02.01.2014 00:00:03.592,699.99312,700.00688
GOOG,02.01.2014 00:00:04.982,699.99309,700.00691
GOOG,02.01.2014 00:00:06.389,699.99309,700.00691
GOOG,02.01.2014 00:00:07.739,699.99310,700.00690
GOOG,02.01.2014 00:00:09.294,699.99307,700.00693
GOOG,02.01.2014 00:00:10.676,699.99304,700.00696
GOOG,02.01.2014 00:00:12.023,699.99303,700.00697
GOOG,02.01.2014 00:00:13.461,699.99304,700.00696
GOOG,02.01.2014 00:00:14.901,699.99305,700.00695
GOOG,02.01.2014 00:00:16.428,699.99305,700.00695
GOOG,02.01.2014 00:00:17.813,699.99305,700.00695
GOOG,02.01.2014 00:00:19.253,699.99309,700.00691
GOOG,02.01.2014 00:00:20.727,699.99309,700.00691
GOOG,02.01.2014 00:00:22.030,699.99310,700.00690
GOOG,02.01.2014 00:00:23.463,699.99311,700.00689
GOOG,02.01.2014 00:00:24.825,699.99309,700.00691
GOOG,02.01.2014 00:00:26.139,699.99311,700.00689
GOOG,02.01.2014 00:00:27.498,699.99312,700.00688
GOOG,02.01.2014 00:00:29.014,699.99314,700.00686
GOOG,02.01.2014 00:00:30.292,699.99312,700.00688
GOOG,02.01.2014 00:00:31.643,699.99310,700.00690
GOOG,02.01.2014 00:00:32.989,699.99313,700.00687
GOOG,02.01.2014 00:00:34.269,699.99317,700.00683
GOOG,02.01.2014 00:00:35.397,699.99317,700.00683
GOOG,02.01.2014 00:00:36.864,699.99315,700.00685
GOOG,02.01.2014 00:00:38.282,699.99313,700.00687
GOOG,02.01.2014 00:00:39.629,699.99313,700.00687
GOOG,02.01.2014 00:00:40.837,699.99313,700.00687
GOOG,02.01.2014 00:00:42.355,699.99314,700.00686
GOOG,02.01.2014 00:00:43.733,699.99312,700.00688
GOOG,02.01.2014 00:00:45.168,699.99315,700.00685
GOOG,02.01.2014 00:00:46.672,699.99313,700.00687
GOOG,02.01.2014 00:00:47.973,699.99311,700.00689
GOOG,02.01.2014 00:00:49.395,699.99311,700.00689
GOOG,02.01.2014 00:00:50.640,699.99309,700.00691
GOOG,02.01.2014 00:00:52.102,699.99308,700.00692
GOOG,02.01.2014 00:00:53.563,699.99308,700.00692
GOOG,02.01.2014 00:00:54.906,699.99306,700.00694
GOOG,02.01.2014 00:00:56.109,699.99304,700.00696
GOOG,02.01.2014 00:00:57.528,699.99306,700.00694
GOOG,02.01.2014 00:00:58.852,699.99307,700.00693
GOOG,02.01.2014 00:01:00.400,699.99307,700.00693
GOOG,02.01.2014 00:01:01.864,699.99304,700.00696
GOOG,02.01.2014 00:01:03.313,699.99305,700.00695
GOOG,02.01.2014 00:01:04.695,699.99307,700.00693
