Ticker,Time,Bid,Ask
GOOG,03.01.2014 00:00:01.922,699.99341,700.00659
GOOG,03.01.2014 00:00:03.245,699.99341,700.00659
GOOG,03.01.2014 00:00:04.695,699.99342,700.00658
GOOG,03.01.2014 00:00:06.214,699.99341,700.00659
GOOG,03.01.2014 00:00:07.540,699.99340,700.00660
GOOG,03.01.2014 00:00:08.815,699.99340,700.00660
GOOG,03.01.2014 00:00:10.100,699.99342,700.00658
GOOG,03.01.2014 00:00:11.365,699.99346,700.00654
GOOG,03.01.2014 00:00:12.853,699.99346,700.00654
GOOG,03.01.2014 00:00:13.999,699.99347,700.00653
GOOG,03.01.2014 00:00:15.290,699.99346,700.00654
GOOG,03.01.2014 00:00:16.669,699.99346,700.00654
GOOG,03.01.2014 00:00:17.985,699.99347,700.00653
GOOG,03.01.2014 00:00:19.191,699.99348,700.00652
GOOG,03.01.2014 00:00:20.460,699.99348,700.00652
GOOG,03.01.2014 00:00:21.865,699.99348,700.00652
GOOG,03.01.2014 00:00:23.413,699.99349,700.00651
GOOG,03.01.2014 00:00:24.799,699.99349,700.00651
GOOG,03.01.2014 00:00:26.069,699.99349,700.00651
GOOG,03.01.2014 00:00:27.604,699.99350,700.00650
GOOG,03.01.2014 00:00:28.850,699.99348,700.00652
GOOG,03.01.2014 00:00:30.409,699.99344,700.00656
GOOG,03.01.2014 00:00:31.798,699.99346,700.00654
GOOG,03.01.2014 00:00:32.995,699.99347,700.00653
GOOG,03.01.2014 00:00:34.565,699.99345,700.00655
GOOG,03.01.2014 00:00:35.909,699.99346,700.00654
GOOG,03.01.2014 00:00:37.175,699.99343,700.00657
GOOG,03.01.2014 00:00:38.707,699.99340,700.00660
GOOG,03.01.2014 00:00:40.149,699.99339,700.00661
GOOG,03.01.2014 00:00:41.469,699.99337,700.00663
GOOG,03.01.2014 00:00:42.943,699.99336,700.00664
GOOG,03.01.2014 00:00:44.347,699.99335,700.00665
GOOG,03.01.2014 00:00:45.789,699.99336,700.00664
